Date :,2/7/20 12:24,,,,,,,,,,,
Motion Threshold (au):,20,,,,,,,,,,,
Detection Method:,Linear,,,,,,,,,,,
Min Freeze Duration (f):,30,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Component Details,,,,,,,,,,,,
Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,24,1,1.133,0.06,5.67,271.26,0,1239
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,Tone-2,2,6.1,0.32,30.5,131.35,0,883
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,Trace-2,2,15.433,0.8,77.17,21.71,0,527
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,25,1,5.367,0.28,26.83,50.26,0,395
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,26,2,12.6,0.66,63,12.22,0,140
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,27,2,7.133,0.37,35.67,39.49,0,417
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,28,2,3.233,0.17,16.17,75.13,0,457
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,29,0,0,0,0,167.58,0,972
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,30,2,3.333,0.17,16.67,68.62,0,949
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,31,3,9.333,0.49,46.67,17.12,0,170
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,32,3,6.1,0.32,30.5,32.25,0,408
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,33,2,5.033,0.26,25.17,47.43,0,328
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,34,2,3.367,0.18,16.83,44.72,0,507
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,35,2,3.167,0.16,15.83,66.68,0,486
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,36,2,3.467,0.18,17.33,72.42,0,460
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,Tone-3,3,8.4,0.44,42,42.58,0,248
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,Trace-3,4,18.4,0.96,92,2.73,0,161
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,37,2,14.267,0.74,71.33,7.25,0,278
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,38,3,17.167,0.89,85.83,2.6,0,87
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,39,2,12.867,0.67,64.33,21.96,0,229
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,40,4,6.267,0.33,31.33,86.78,0,621
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,41,2,4.467,0.23,22.33,78.65,0,507
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,42,5,9.733,0.51,48.67,58.04,0,498
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,43,2,2.933,0.15,14.67,159.24,0,827
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,44,2,6.433,0.34,32.17,98.06,0,791
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,45,1,1.033,0.05,5.17,141.25,0,1140
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,46,0,0,0,0,270.61,0,1585
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,47,0,0,0,0,182.64,0,922
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,48,3,5.3,0.28,26.5,158.34,0,1384
2020-02-07 TFC 3shock TONE TEST session ,1,Chamber2,258,squad-1,Tone-4,1,10.067,0.52,50.33,70.71,0,688
